url,url_total_clicks,url_total_impressions,url_ctr_percent,url_avg_position,num_queries_conocidas,top_query,top_query_clicks,top_query_impressions,top_query_ctr_percent,top_query_position,pct_clicks_from_top_query_all,pct_imps_from_top_query_all
https://www.pccomponentes.com/televisores/50-pulgadas/mini-led,38,524,7.25,2.2,29,mini led 50 pulgadas,6.0,42.0,14.29,1.0,15.8,8.0
https://www.pccomponentes.com/televisores-4k-vs-8k,37,1892,1.96,12.0,134,tv 4k o 8k,3.0,4.0,75.0,0.0,8.1,0.2
https://www.pccomponentes.com/televisores/32-pulgadas/qled,37,1642,2.25,5.0,108,tv 32 pulgadas qled,3.0,67.0,4.48,1.4,8.1,4.1
https://www.pccomponentes.com/televisores/lg,37,12701,0.29,9.3,419,lg,10.0,8262.0,0.12,8.5,27.0,65.0
https://www.pccomponentes.com/mejores-televisores-qled-65-pulgadas,37,1778,2.08,18.1,125,mejor tv qled 65 pulgadas,5.0,35.0,14.29,0.1,13.5,2.0
https://www.pccomponentes.com/televisores/24-pulgadas/smart-tv,35,832,4.21,5.7,80,smart tv 24,4.0,34.0,11.76,4.4,11.4,4.1
https://www.pccomponentes.com/televisores/65-pulgadas/philips,35,2575,1.36,5.5,145,philips 65 pulgadas,4.0,122.0,3.28,2.2,11.4,4.7
https://www.pccomponentes.com/televisores/75-pulgadas/lg,34,4886,0.7,8.8,343,tv lg 75 pulgadas,3.0,478.0,0.63,8.7,8.8,9.8
https://www.pccomponentes.com/televisores/blanco,34,2087,1.63,5.7,64,tv blanca,3.0,189.0,1.59,4.0,8.8,9.1
https://www.pccomponentes.com/mejores-televisores-qled-50-pulgadas,34,1774,1.92,19.8,107,mejor tv qled 50 pulgadas,2.0,11.0,18.18,0.0,5.9,0.6
https://www.pccomponentes.com/televisores/oled/samsung,33,3873,0.85,8.5,324,samsung oled,5.0,483.0,1.04,8.6,15.2,12.5
https://www.pccomponentes.com/televisores/43-pulgadas/xiaomi,33,3085,1.07,8.6,87,tv xiaomi 43,5.0,490.0,1.02,9.5,15.2,15.9
https://www.pccomponentes.com/televisores/75-pulgadas/qled,32,3227,0.99,6.0,174,tv 75 qled,3.0,109.0,2.75,3.4,9.4,3.4
https://www.pccomponentes.com/televisores/50-pulgadas/samsung,32,8209,0.39,6.8,444,samsung 50 pulgadas,6.0,689.0,0.87,6.4,18.8,8.4
https://www.pccomponentes.com/televisores/43-pulgadas/tcl-corporation,30,2194,1.37,5.9,167,tcl 43 pulgadas,9.0,564.0,1.6,5.3,30.0,25.7
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd/43-pulgadas,30,1505,1.99,3.5,85,televisor 4k 43 pulgadas,3.0,52.0,5.77,2.7,10.0,3.5
https://www.pccomponentes.com/televisores/75-pulgadas/tcl-corporation,29,2836,1.02,8.8,126,tcl televisor 75 pulgadas,4.0,30.0,13.33,9.9,13.8,1.1
https://www.pccomponentes.com/televisores/43-pulgadas/reacondicionado,28,223,12.56,0.7,6,tv 43 pulgadas reacondicionado,2.0,21.0,9.52,0.4,7.1,9.4
https://www.pccomponentes.com/televisores/24-pulgadas/samsung,28,1778,1.57,7.8,81,tv samsung 24 pulgadas,4.0,220.0,1.82,4.4,14.3,12.4
https://www.pccomponentes.com/televisores/55-pulgadas/nanocell,28,1698,1.65,5.4,78,lg nanocell 55,11.0,711.0,1.55,6.2,39.3,41.9
https://www.pccomponentes.com/televisores/50-pulgadas/lg,27,5387,0.5,8.2,337,tv lg 50 pulgadas,4.0,437.0,0.92,9.4,14.8,8.1
https://www.pccomponentes.com/televisores/xiaomi,27,6937,0.39,9.2,246,xiaomi tv,6.0,1983.0,0.3,9.3,22.2,28.6
https://www.pccomponentes.com/televisores/smart-tech,26,1345,1.93,4.5,87,smart tech tv,10.0,279.0,3.58,2.9,38.5,20.7
https://www.pccomponentes.com/televisores/hisense,26,5074,0.51,8.4,282,hisense,3.0,1463.0,0.21,6.9,11.5,28.8
https://www.pccomponentes.com/televisores/en-oferta,25,1675,1.49,7.9,157,ofertas en teles,1.0,2.0,50.0,9.0,4.0,0.1
https://www.pccomponentes.com/los-mejores-televisores-4k-calidad-precio,25,2613,0.96,16.1,204,teles 4k,1.0,9.0,11.11,7.2,4.0,0.3
https://www.pccomponentes.com/televisores/65-pulgadas/tcl-corporation,25,3909,0.64,9.5,200,tcl 65 pulgadas,4.0,1185.0,0.34,10.5,16.0,30.3
https://www.pccomponentes.com/televisores/43-pulgadas/hisense,25,1636,1.53,6.3,124,tv hisense 43 pulgadas,5.0,224.0,2.23,4.0,20.0,13.7
https://www.pccomponentes.com/televisores/sony,24,964,2.49,10.4,110,tv sony,2.0,145.0,1.38,9.9,8.3,15.0
https://www.pccomponentes.com/televisores/40-pulgadas/hisense,24,1456,1.65,4.8,106,tv hisense 40 pulgadas,5.0,156.0,3.21,5.5,20.8,10.7
https://www.pccomponentes.com/que-es-hdr-para-televisores-y-vale-la-pena,24,5388,0.45,4.1,182,que es hdr en tv,3.0,273.0,1.1,1.0,12.5,5.1
https://www.pccomponentes.com/televisores/43-pulgadas/sony,24,1217,1.97,7.7,64,televisor sony 43 pulgadas,2.0,57.0,3.51,7.6,8.3,4.7
https://www.pccomponentes.com/mejores-televisores-8k-cual-comprar,23,1417,1.62,13.4,101,televisores 8k,2.0,13.0,15.38,8.9,8.7,0.9
https://www.pccomponentes.com/televisores/75-pulgadas/philips,23,1259,1.83,4.8,97,philips ambilight 75,4.0,150.0,2.67,4.6,17.4,11.9
https://www.pccomponentes.com/televisores/65-pulgadas/sony,22,1820,1.21,7.1,102,sony tv 65 pulgadas,2.0,59.0,3.39,7.4,9.1,3.2
https://www.pccomponentes.com/televisores/55-pulgadas/panasonic,22,698,3.15,6.4,52,panasonic 55 pulgadas,4.0,60.0,6.67,4.0,18.2,8.6
https://www.pccomponentes.com/televisores/65-pulgadas/reacondicionado,22,190,11.58,1.6,3,tv 65 reacondicionado,3.0,20.0,15.0,1.8,13.6,10.5
https://www.pccomponentes.com/televisores/65-pulgadas/xiaomi,22,1693,1.3,8.8,83,xiaomi 65 pulgadas,5.0,319.0,1.57,9.0,22.7,18.8
https://www.pccomponentes.com/televisores/43-pulgadas/ambilight,21,831,2.53,6.1,44,philips ambilight 43,2.0,185.0,1.08,6.8,9.5,22.3
https://www.pccomponentes.com/televisores/50-pulgadas/reacondicionado,21,283,7.42,1.6,13,tv 50 pulgadas reacondicionado,7.0,31.0,22.58,0.2,33.3,11.0
https://www.pccomponentes.com/televisores/32-pulgadas/philips,20,1786,1.12,7.1,141,tv philips 32 pulgadas,4.0,57.0,7.02,2.6,20.0,3.2
https://www.pccomponentes.com/televisores/65-pulgadas/hisense,20,2977,0.67,7.7,145,hisense 65 pulgadas,4.0,516.0,0.78,6.7,20.0,17.3
https://www.pccomponentes.com/televisores/32-pulgadas/xiaomi,20,1632,1.23,8.8,92,tv 32 xiaomi,2.0,30.0,6.67,9.9,10.0,1.8
https://www.pccomponentes.com/televisores/oled/philips,20,1271,1.57,5.7,166,philips oled,3.0,164.0,1.83,5.2,15.0,12.9
https://www.pccomponentes.com/mejores-televisores-futbol,20,495,4.04,3.4,33,mejor tv para ver futbol,0.0,16.0,0.0,0.2,0.0,3.2
https://www.pccomponentes.com/televisores/silver,19,199,9.55,4.6,14,tv silver,7.0,21.0,33.33,1.2,36.8,10.6
https://www.pccomponentes.com/televisores/32-pulgadas/hisense,19,1380,1.38,6.0,103,hisense 32 pulgadas,6.0,172.0,3.49,6.4,31.6,12.5
https://www.pccomponentes.com/govee-h605c-envisual-tv-backlight-t2-tira-led-inteligente-rgb-para-televisores,19,1011,1.88,7.1,76,govee t2,4.0,74.0,5.41,5.2,21.1,7.3
https://www.pccomponentes.com/televisores/65-pulgadas/ambilight,19,411,4.62,4.3,46,ambilight 65 pulgadas,2.0,22.0,9.09,1.9,10.5,5.4
https://www.pccomponentes.com/televisores/td-systems,18,2320,0.78,7.5,73,td systems,5.0,776.0,0.64,7.0,27.8,33.4
https://www.pccomponentes.com/televisores/32-pulgadas/toshiba,18,1567,1.15,6.6,110,tv 32 toshiba,2.0,5.0,40.0,4.4,11.1,0.3
https://www.pccomponentes.com/mejores-televisores-qled-55-pulgadas,18,952,1.89,13.9,67,mejor tv qled 55 pulgadas,3.0,33.0,9.09,0.4,16.7,3.5
https://www.pccomponentes.com/televisores/55-pulgadas/philips,18,2224,0.81,7.7,118,philips tv 55,3.0,25.0,12.0,3.3,16.7,1.1
https://www.pccomponentes.com/televisores/75-pulgadas/reacondicionado,17,205,8.29,1.1,6,tv reacondicionado 75 pulgadas,4.0,18.0,22.22,0.5,23.5,8.8
https://www.pccomponentes.com/televisores/blanco/lg,17,879,1.93,5.9,79,tv lg blanca,4.0,31.0,12.9,0.9,23.5,3.5
https://www.pccomponentes.com/televisores/85-pulgadas/samsung,17,1752,0.97,7.4,134,tv samsung 85 pulgadas,3.0,232.0,1.29,8.8,17.6,13.2
https://www.pccomponentes.com/televisores/50-pulgadas/hisense,17,1911,0.89,6.9,169,tv hisense 50,2.0,77.0,2.6,6.7,11.8,4.0
https://www.pccomponentes.com/televisores/reacondicionado/smart-tv,17,461,3.69,6.4,49,smart tv reacondicionado,2.0,22.0,9.09,6.2,11.8,4.8
https://www.pccomponentes.com/televisores/55-pulgadas/sony,17,2035,0.84,9.0,101,tv sony 55 pulgadas,4.0,368.0,1.09,9.7,23.5,18.1
https://www.pccomponentes.com/televisores/32-pulgadas/reacondicionado,17,132,12.88,0.7,3,tv 32 pulgadas reacondicionado,4.0,18.0,22.22,0.5,23.5,13.6
https://www.pccomponentes.com/televisores/philips,16,2876,0.56,8.7,171,philips televisores,5.0,113.0,4.42,10.1,31.3,3.9
https://www.pccomponentes.com/televisores/55-pulgadas/hisense,16,3239,0.49,8.4,188,hisense tv 55,3.0,304.0,0.99,9.9,18.8,9.4
https://www.pccomponentes.com/televisores/40-pulgadas/blanco,16,486,3.29,2.2,22,smart tv blanca 40 pulgadas,5.0,38.0,13.16,1.5,31.3,7.8
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd/55-pulgadas,16,1470,1.09,3.6,95,tv 55 4k,2.0,29.0,6.9,2.1,12.5,2.0
https://www.pccomponentes.com/televisores/thomson,15,2391,0.63,8.3,107,thomson tv oled,1.0,1.0,100.0,1.0,6.7,0.0
https://www.pccomponentes.com/televisores/55-pulgadas/reacondicionado,15,175,8.57,0.9,5,tv 55 pulgadas reacondicionado,6.0,41.0,14.63,0.1,40.0,23.4
https://www.pccomponentes.com/televisores/55-pulgadas/nilait,15,200,7.5,1.2,5,nilait 55 pulgadas,4.0,20.0,20.0,0.5,26.7,10.0
https://www.pccomponentes.com/televisores/32-pulgadas/smart-tv,15,1648,0.91,5.2,151,mejor smart tv 32 pulgadas,1.0,4.0,25.0,1.5,6.7,0.2
https://www.pccomponentes.com/televisores/65-pulgadas/toshiba,13,446,2.91,3.8,29,toshiba 65 pulgadas,2.0,77.0,2.6,3.8,15.4,17.3
https://www.pccomponentes.com/televisores/32-pulgadas/td-systems,13,1573,0.83,8.8,33,televisor td systems 32 pulgadas,2.0,7.0,28.57,9.3,15.4,0.4
https://www.pccomponentes.com/televisores/75-pulgadas/sony,13,990,1.31,6.9,69,sony bravia 75 pulgadas,4.0,110.0,3.64,8.3,30.8,11.1
https://www.pccomponentes.com/televisores/100-pulgadas/mini-led,13,283,4.59,6.9,51,mini led 100 pulgadas,2.0,6.0,33.33,3.5,15.4,2.1
https://www.pccomponentes.com/televisores/32-pulgadas/sony,13,897,1.45,8.7,58,tv sony 32 pulgadas,2.0,96.0,2.08,9.6,15.4,10.7
https://www.pccomponentes.com/cuanto-dura-garantia-televisores-xiaomi,13,1043,1.25,4.6,28,garantia xiaomi españa,0.0,86.0,0.0,3.9,0.0,8.2
https://www.pccomponentes.com/televisores/75-pulgadas/xiaomi,12,2267,0.53,8.2,53,televisor xiaomi 75 pulgadas,3.0,96.0,3.13,8.8,25.0,4.2
https://www.pccomponentes.com/televisores/mini-led/philips,12,292,4.11,2.7,70,phillips mini led,1.0,1.0,100.0,1.0,8.3,0.3
https://www.pccomponentes.com/pccomponentes-lanza-su-marca-propia-de-televisores-nilait-calidad-de-imagen-a-precios-asequibles,12,1562,0.77,3.4,176,nilait,1.0,1.0,100.0,1.0,8.3,0.1
https://www.pccomponentes.com/televisores/mini-led/samsung,12,834,1.44,6.6,115,samsung mini led,4.0,84.0,4.76,3.6,33.3,10.1
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd/smart-tv,12,1342,0.89,5.1,67,smart tv 42 4k,1.0,2.0,50.0,2.5,8.3,0.1
https://www.pccomponentes.com/televisores/50-pulgadas/philips,11,2365,0.47,5.5,218,tv philips 50 pulgadas,2.0,141.0,1.42,6.0,18.2,6.0
https://www.pccomponentes.com/televisores/48-pulgadas,11,942,1.17,6.5,57,tv 48 pulgadas,3.0,81.0,3.7,3.9,27.3,8.6
https://www.pccomponentes.com/televisores/40-pulgadas/smart-tv,11,1451,0.76,7.0,160,smart tv 40 pulgadas android,2.0,31.0,6.45,2.2,18.2,2.1
https://www.pccomponentes.com/televisores/qled,11,2439,0.45,8.1,129,qled,4.0,902.0,0.44,7.5,36.4,37.0
https://www.pccomponentes.com/one-for-all-urc-1917-mando-a-distancia-universal-para-televisores-td-systems,11,472,2.33,6.9,18,mando universal tv td systems,1.0,1.0,100.0,2.0,9.1,0.2
https://www.pccomponentes.com/televisores/32-pulgadas/nilait,11,113,9.73,1.6,4,tv nilait 32 pulgadas,2.0,27.0,7.41,0.6,18.2,23.9
https://www.pccomponentes.com/mejores-televisores-nilait-calidad-precio,10,3052,0.33,7.9,37,nilait opiniones,2.0,332.0,0.6,7.8,20.0,10.9
https://www.pccomponentes.com/govee-h6199-dreamview-t1-tvbacklight-tira-led-inteligente-rgb-para-televisores,10,189,5.29,3.5,24,govee h6199,2.0,24.0,8.33,0.0,20.0,12.7
https://www.pccomponentes.com/televisores/43-pulgadas/toshiba,10,632,1.58,5.8,53,toshiba 43,2.0,46.0,4.35,4.4,20.0,7.3
https://www.pccomponentes.com/televisores/65-pulgadas/oled/samsung,10,939,1.06,7.5,57,samsung oled 65,3.0,382.0,0.79,9.5,30.0,40.7
https://www.pccomponentes.com/televisores/48-pulgadas/samsung,10,810,1.23,6.8,55,samsung 48 pulgadas,3.0,73.0,4.11,5.5,30.0,9.0
https://www.pccomponentes.com/televisores/55-pulgadas/lg/oled,10,486,2.06,6.3,73,lg oled 55 2020,1.0,2.0,50.0,3.0,10.0,0.4
https://www.pccomponentes.com/televisores/85-pulgadas/mini-led,10,265,3.77,2.8,18,tv 85 pulgadas mini led,3.0,26.0,11.54,2.9,30.0,9.8
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd/65-pulgadas,10,1304,0.77,2.6,67,"smart tv 65"" 4k",1.0,2.0,50.0,0.0,10.0,0.2
https://www.pccomponentes.com/cuanto-dura-garantia-televisores-sony-bravia,10,564,1.77,4.5,21,garantia sony,0.0,18.0,0.0,2.8,0.0,3.2
https://www.pccomponentes.com/televisores/65-pulgadas/qled/samsung,9,514,1.75,6.4,79,samsung neo qled 65 pulgadas,1.0,17.0,5.88,10.9,11.1,3.3
https://www.pccomponentes.com/televisores/40-pulgadas/reacondicionado,9,143,6.29,2.1,13,smart tv 40 pulgadas,0.0,2.0,0.0,4.5,0.0,1.4
https://www.pccomponentes.com/televisores/cecotec/smart-tv,9,2345,0.38,7.9,23,tv cecotec,5.0,432.0,1.16,9.8,55.6,18.4
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd/oled,9,549,1.64,5.2,81,4k oled,2.0,87.0,2.3,5.9,22.2,15.8
https://www.pccomponentes.com/mejores-televisores-phillips-calidad-precio,9,915,0.98,9.8,64,phillips,0.0,108.0,0.0,8.0,0.0,11.8
https://www.pccomponentes.com/televisores/50-pulgadas/tcl-corporation,9,2183,0.41,8.7,159,tv de 50 pulgadas tcl precio,1.0,1.0,100.0,3.0,11.1,0.0
https://www.pccomponentes.com/televisores/lg/nanocell,8,1604,0.5,7.4,200,lg nanocell,4.0,369.0,1.08,7.2,50.0,23.0
https://www.pccomponentes.com/televisores/43-pulgadas/philips,8,876,0.91,5.0,76,smart tv 43 pulgadas philips,1.0,6.0,16.67,1.8,12.5,0.7
